NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
Las Ventas de Retamosa;hoteles;,   Las Ventas de Retamosa, Spain;4015501;-411414;;;;;;;
disvasant;hoteles;Paseo de la habana, 29 45183 Las Ventas de Retamosa, Spain;4016275;-417550;;;645 99 47 49;Monday: 9:00?AM?–?5:00?PM | Tuesday: 9:00?AM?–?5:00?PM | Wednesday: 9:00?AM?–?5:00?PM | Thursday: 9:00?AM?–?5:00?PM | Friday: 9:00?AM?–?5:00?PM | Saturday: Closed | Sunday: Closed;;;
Césped artificial;hoteles;Calle Buenavista, 3A 45183 Las Ventas de Retamosa, Spain;4015661;-412020;;http://www.cespedmadrid.com/;693 94 32 44;Monday: 10:00?AM?–?8:00?PM | Tuesday: 10:00?AM?–?8:00?PM | Wednesday: 10:00?AM?–?8:00?PM | Thursday: 10:00?AM?–?8:00?PM | Friday: 10:00?AM?–?8:00?PM | Saturday: 10:00?AM?–?2:00?PM | Sunday: Closed;;;
rotulomadrid rotulos luminosos;hoteles;Calle de Toledo,  45183 Las Ventas de Retamosa, Spain;4015509;-411772;;;918 10 81 27;;;;
Ventas de Retamosa Consultorio;hoteles;Calle Tejar, 3 45183 Las Ventas de Retamosa, Spain;4015656;-411799;;http://www.lasventasderetamosa.es/;918 17 35 66;;;;
Auditorio Municipal De Las Ventas De Retamosa;hoteles;Calle Tejar, 1 45183 Las Ventas de Retamosa, Spain;4015659;-411803;;;;;;;
Casa De La Cultura - Biblioteca Pública Municipal de Las Ventas de Retamosa;hoteles;Calle Rodríguez de la Fuente, 5 45183 Las Ventas de Retamosa, Spain;4015745;-411753;;;918 17 38 28;Monday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Tuesday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Wednesday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Thursday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Friday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
ADCHE (Asociación para la Difusión de la Cultura y la Historia Europea);hoteles;Calle Rodríguez de la Fuente, 5 45183 Las Ventas de Retamosa, Spain;4015742;-411761;;https://www.adche.org/;616 73 24 47;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Novodomus Servicios integrales;hoteles;Calle Portillo de Toledo, 4 45183 Las Ventas de Retamosa, Spain;4015579;-411837;;http://www.novodomus.es/contacto/;633 18 10 00;;;;
"Humedal de ""La Laguna"" Las Ventas de Retamosa";hoteles;,  45183 Las Ventas de Retamosa, Spain;4015328;-413312;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Urb. Las Bolas;hoteles;Calle Huertas, 2 45183 Las Ventas de Retamosa, Spain;4015611;-416691;;;;;;;
SOLEC;hoteles;Calle Chica, 1 45183 Las Ventas de Retamosa, Spain;4015683;-417006;;http://solec.es/;666 80 88 88;Monday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Tuesday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Wednesday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Thursday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Friday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Saturday: Closed | Sunday: Closed;;;
URBANIZACIÓN LAS ROSAS;hoteles;Avenida Ventas, 1B 45183 Las Ventas de Retamosa, Spain;4015694;-417007;;;;;;;
Piscinas Rubio Mantenimiento Integral S.L;hoteles;Calle Badajoz, 15 45183 Las Ventas de Retamosa, Spain;4015471;-412863;;http://www.piscinasrubio.com/;916 43 73 57;Monday: 9:00?AM?–?6:00?PM | Tuesday: 9:00?AM?–?6:00?PM | Wednesday: 9:00?AM?–?6:00?PM | Thursday: 9:00?AM?–?6:00?PM | Friday: 9:00?AM?–?6:00?PM | Saturday: Closed | Sunday: Closed;;;
Educación Canina Adrián Serrano;hoteles;Calle Sauces, 6 45183 Las Ventas de Retamosa, Spain;4015604;-417211;;https://educacioncaninaas.com/;665 60 23 43;Monday: 9:00?AM?–?8:00?PM | Tuesday: 9:00?AM?–?8:00?PM | Wednesday: 9:00?AM?–?8:00?PM | Thursday: 9:00?AM?–?8:00?PM | Friday: 9:00?AM?–?8:00?PM | Saturday: 9:00?AM?–?2:00?PM | Sunday: 9:00?AM?–?2:00?PM;;;
URBANIZACIÓN LA PELELA;hoteles;Calle Arboleda, 1 45183 Las Ventas de Retamosa, Spain;4016627;-416118;;;;;;;
TREBOL OPTIC S.L.;hoteles;Calle Osa Menor, 5B 45183 Las Ventas de Retamosa, Spain;4015588;-412643;;;918 17 37 89;;;;
RJ Viana sl;hoteles;Calle Chozas de Canales, 21 45183 Las Ventas de Retamosa, Spain;4015215;-412245;;;656 44 68 52;Monday: 9:00?AM?–?6:00?PM | Tuesday: 9:00?AM?–?6:00?PM | Wednesday: 9:00?AM?–?6:00?PM | Thursday: 9:00?AM?–?6:00?PM | Friday: 9:00?AM?–?6:00?PM | Saturday: Closed | Sunday: Closed;;;
Piscina;hoteles;Calle Río Narcea, 545183 45183 Las Ventas de Retamosa, Spain;4015859;-412422;;;;;;;
180 Web Site;hoteles;Calle Chozas de Canales, 14 45183 Las Ventas de Retamosa, Spain;4015256;-412177;;https://180website.com/;699 79 41 80;;;;
El Chupete;hoteles;Calle Neptuno, 1 45183 Las Ventas de Retamosa, Spain;4015604;-412229;;;;;;;
RocaTerrarios;hoteles;Calle Chozas de Canales,  45183 Las Ventas de Retamosa, Spain;4015263;-412072;;;;;;;
Arena de sílice;hoteles;Calle Rodríguez de la Fuente, 27 45183 Las Ventas de Retamosa, Spain;4015919;-412285;;http://arenadesilice.vivazola.com/;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Closed | Sunday: Closed;;;
Chalet;hoteles;Urbanizacion Pocillos, 25 45920 , Spain;4016753;-417019;;;;;;;
