NOMBRE_TUI;TIPOS_TUI;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
Church of the Calatravas;Basílicas, Catedrales, Conventos, Ermitas, Iglesias, Monasterios;Religión;C. Alcalá, 25, Centro, 28014 Madrid, Spain;4,5;923;;Abierto;404183;369909;https://maps.google.com/?cid=7963736608915626396;http://www.iglesiacalatravas.com/;Monday: 7:45?AM?–?1:00?PM | Tuesday: 7:45?AM?–?1:00?PM, 6:00?–?8:00?PM | Wednesday: 7:45?AM?–?1:00?PM, 6:00?–?8:00?PM | Thursday: 7:45?AM?–?1:00?PM, 5:45?–?9:00?PM | Friday: 7:45?AM?–?1:00?PM, 6:00?–?8:00?PM | Saturday: 7:30?–?9:00?AM, 6:30?–?8:00?PM | Sunday: 11:30?AM?–?1:30?PM;915 21 80 35;FALSO;FALSO
SALA DE YOGA ESPACIO ALMA MADRID;Gimnasios;Bienestar y deporte;CALLE MONTERA 24, 3 PLANTA LETRA L, Centro, 28012 Madrid, Spain;5;5;;Abierto;404173;370309;https://maps.google.com/?cid=1755343495635508414;;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 10:00?AM?–?10:00?PM;635 64 88 29;FALSO;FALSO
Grazie Mille Mozzarella Bar Galería Canalejas;Bares, Cervecerías, Coctelerías, Mercados, Perfumerías, Tiendas;Compras, Gastronomía y ocio nocturno;Food Hall Galeria Canalejas, C. Alcalá, 12, planta -1, Centro, 28014 Madrid, Spain;4;1308;Moderado;Abierto;404171;370085;https://maps.google.com/?cid=6475974810791121469;http://www.graziemille.es/;Monday: 12:00?PM?–?12:00?AM | Tuesday: 12:00?PM?–?12:00?AM | Wednesday: 12:00?PM?–?12:00?AM | Thursday: 12:00?PM?–?12:00?AM | Friday: 12:00?PM?–?1:00?AM | Saturday: 12:00?PM?–?1:00?AM | Sunday: 12:00?PM?–?12:00?AM;633 16 28 31;VERDADERO;VERDADERO
Cash Converters;Joyerías, Mercados, Perfumerías, Tiendas;Compras;C. de San Bernardo, 97, Chamberí, 28015 Madrid, Spain;3,9;1099;;Abierto;404305;370569;https://maps.google.com/?cid=14601445756410370771;https://cashconverters.es/tiendas/madrid/san-bernardo/;Monday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Tuesday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Wednesday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Thursday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Friday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Saturday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Sunday: Closed;914 46 99 90;FALSO;FALSO
Casa de Lope de Vega Garden;Jardines, Parques, Parques naturales;Naturaleza y actividades al aire libre;Calle de Cervantes, 11, Centro, 28014 Madrid, Spain;4,8;12;;Abierto;404144;369744;https://maps.google.com/?cid=8701814775326012241;https://www.casamuseolopedevega.org/es/la-casa-museo/el-edificio/el-huerto-y-el-jardin;Monday: Closed | Tuesday: 10:00?AM?–?6:00?PM | Wednesday: 10:00?AM?–?6:00?PM | Thursday: 10:00?AM?–?6:00?PM | Friday: 10:00?AM?–?6:00?PM | Saturday: 10:00?AM?–?6:00?PM | Sunday: 10:00?AM?–?6:00?PM;914 29 92 16;FALSO;VERDADERO
Clínica Dra. Sandra de Oliveira;Hospitales;Instituciones y servicios públicos;C. de Antonio Maura, 7, Bajo Derecha, Retiro, 28014 Madrid, Spain;4,8;89;;Abierto;404168;369065;https://maps.google.com/?cid=12650433470005963491;https://drasandradeoliveira.com/;Monday: 10:00?AM?–?8:00?PM | Tuesday: 10:00?AM?–?8:00?PM | Wednesday: 10:00?AM?–?8:00?PM | Thursday: 10:00?AM?–?8:00?PM | Friday: 10:00?AM?–?8:00?PM | Saturday: 10:00?AM?–?3:00?PM | Sunday: Closed;639 74 00 38;FALSO;FALSO
Consulado General de Uruguay;Consulados, Embajadas;Instituciones y servicios públicos;8, P.º del Pintor Rosales, 32, Moncloa - Aravaca, 28008 Madrid, Spain;4,4;117;;Abierto;404273;371985;https://maps.google.com/?cid=844421672620641980;http://www.consuladouy-bcn.es/;Monday: 9:00?AM?–?3:00?PM | Tuesday: 9:00?AM?–?3:00?PM | Wednesday: 9:00?AM?–?3:00?PM | Thursday: 9:00?AM?–?3:00?PM | Friday: 9:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;915 48 22 82;FALSO;VERDADERO
Supermercado El Corte Inglés;Supermercados;Compras;C. de Preciados, 3, Centro, 28013 Madrid, Spain;4,3;23139;;Abierto;404175;370456;https://maps.google.com/?cid=17051747579133092363;http://www.elcorteingles.es/supermercado/;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;913 79 80 00;FALSO;VERDADERO
Tous Jewerly;Joyerías;Compras;Calle de Preciados, C. de Preciados, 3, Centro, 28013 Madrid, Spain;3,3;72;;Abierto;404174;370461;https://maps.google.com/?cid=14639393159869391136;https://www.tous.com/es-es/;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;618 93 37 17;FALSO;VERDADERO
Pronovias Madrid Arenal - Vestidos de Novia;Tiendas de ropa, Zapaterías;Compras;C. del Arenal, 5, Centro, 28013 Madrid, Spain;4,4;750;;Abierto;404167;370540;https://maps.google.com/?cid=14427662171568988531;https://www.pronovias.com/es/tiendas/madrid-arenal;Monday: 10:00?AM?–?8:30?PM | Tuesday: 10:00?AM?–?8:30?PM | Wednesday: 10:00?AM?–?8:30?PM | Thursday: 10:00?AM?–?8:30?PM | Friday: 10:00?AM?–?8:30?PM | Saturday: 10:00?AM?–?8:30?PM | Sunday: 10:00?AM?–?6:00?PM;915 32 32 80;FALSO;FALSO
