PLACE_ID,NOMBRE_TUI,TIPOS_TUI,CATEGORIA_TUI,DIRECCION,RATING_TUI,TOTAL_VALORACIONES_TUI,PRECIO,ESTADO_NEGOCIO,LATITUD_TUI,LONGITUD_TUI,URL,WEBSITE,HORARIO,TELEFONO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS,TIPOS_API
ChIJ8_hy78iJQQ0RrgNmpToKzK4,Residencial Duquesa de Tamames,"Hoteles,Alojamiento",ALOJAMIENTOS,"C. de la Duquesa de Tamames, 5, Carabanchel, 28044 Madrid, Spain",5,3,Moderado,Abierto,40.3729637,-3.7496792,https://maps.google.com/?cid=7963736608915626396,http://www.duquesa5.com/,,910 88 52 21,NO,NO,
ChIJd0B8yX8nQg0R0eo9uDe4FNM,B&B HOTEL MADRID Carabanchel,"Hoteles,Hoteles",ALOJAMIENTOS,"C. del Aguacate, 43, Carabanchel, 28054 Madrid, Spain","4,7",269,—,Abierto,40.368676,-3.74242,https://maps.google.com/?cid=1755343495635508414,https://www.hotel-bb.com/es/hotel/madrid-carabanchel?utm_source=googlemaps&utm_medium=fichehotel&utm_campaign=madridcarabanchel,,910 79 79 17,NO,SI,
ChIJh7H6eIAnQg0RpDuc7tFxZvI,Hotel Eco Vía Lusitana,"Hoteles,Hoteles",ALOJAMIENTOS,"C. Secoya, 2, Carabanchel, 28044 Madrid, Spain","3,9",1593,—,Abierto,40.37274240000001,-3.7421528,https://maps.google.com/?cid=6475974810791121469,http://www.ecovialusitana.com/,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,915 11 03 80,NO,SI,
ChIJ2cWSKDgnQg0Rl1N2hZ-AZIk,TESALIA ENTERTAINMENT SL,"Hoteles,Hoteles",ALOJAMIENTOS,"C. de Antonia Rodríguez Sacristán, 14, Carabanchel, 28044 Madrid, Spain",0,0,—,Abierto,40.3728365,-3.74282,https://maps.google.com/?cid=14601445756410370771,,,915 11 03 80,NO,NO,
ChIJS2bXYPYmQg0R0QoLV9Uy_xo,San Fermin Partnership Project,Hoteles,ALOJAMIENTOS,"Av. de los Fueros, 36, Usera, 28041 Madrid, Spain","4,1",400,—,Abierto,40.3702166,-3.6886199999999993,https://maps.google.com/?cid=8701814775326012241,http://www.san-fermin.org/,Monday: 1:00AM–12:00AM | Tuesday: 1:00AM–12:00AM | Wednesday: 1:00AM–12:00AM | Thursday: 1:00AM–12:00AM | Friday: 1:00AM–12:00AM | Saturday: 1:00AM–12:00AM | Sunday: 1:00AM–12:00AM,917 92 08 97,NO,SI,
ChIJvzeHmOcnQg0R0AMJ56ib25s,Havitacion,"Hoteles,Hostal",ALOJAMIENTOS,"C. de Andévalo, 36, Puente de Vallecas, 28053 Madrid, Spain",0,0,—,Abierto,40.3739031,-3.667797100000001,https://maps.google.com/?cid=12650433470005963491,,,671 56 42 28,NO,NO,
ChIJ1VO3qQGJQQ0RWXL25bPDbEk,La Prensa Hostel: Rodríguez Lázaro 15,"Hoteles,Hoteles",ALOJAMIENTOS,"C. de Rodríguez Lázaro, 15, Carabanchel, 28025 Madrid, Spain",5,1,Barato,Abierto,40.3775,-3.745600000000001,https://maps.google.com/?cid=844421672620641980,,,681 03 94 59,NO,NO,
ChIJOVXhAd-JQQ0RLqY9mmRO66I,La Prensa Hostel: Época 7,"Hoteles,Hoteles",ALOJAMIENTOS,"C. de la Época, 7, Carabanchel, 28025 Madrid, Spain",0,0,—,Abierto,40.378387700000005,-3.7459,https://maps.google.com/?cid=17051747579133092363,,,681 03 94 59,NO,NO,
ChIJNW2IuagnQg0RBr3D7eZyt10,Comunidad Santos Ángeles Custodios,Hoteles,ALOJAMIENTOS,"Av. de Rafaela Ybarra, 73, Usera, 28026 Madrid, Spain","3,7",3,—,Abierto,40.3789383,-3.7115912,https://maps.google.com/?cid=14639393159869391136,,,914 69 07 14,NO,NO,
ChIJzS3FSQAnQg0RTLiCp7sn5XY,Room in guest room-H-rezidence,"Hoteles,Hostal",ALOJAMIENTOS,"C. San Basilio, 19, Usera, 28026 Madrid, Spain",1,1,—,Abierto,40.379900000000006,-3.7076800000000008,https://maps.google.com/?cid=14427662171568988531,,,,NO,NO,
