PLACE_ID;NOMBRE_TUI;TIPOS_API;TIPOS_TODOS;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
ChIJXQzFjV2HZUARu2wQR2f2-_0;McDonald's;Restaurantes;"fast_food_restaurant; restaurant; food; point_of_interest; establishment";Gastronomía y ocio nocturno;C. de Santillana del Mar, 2, 28660 Boadilla del Monte, Madrid, Spain;36;2124;Barato;Abierto;404011;-3,8816E+16;https://www.google.com/maps/place/?q=place_id:ChIJXQzFjV2HZUARu2wQR2f2-_0;https://mcdonalds-mcdelivery.es/;['Monday: 11:00\u202fAM\u2009–\u200912:30\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u200912:30\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u200912:30\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u200912:30\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u200912:30\u202fAM'];916 32 72 75;FALSO;VERDADERO
ChIJqzW93mGFQQ0RH2EEMz5WakI;Mesón Gallego O´Carro;Restaurantes;"spanish_restaurant; mediterranean_restaurant; restaurant; food; point_of_interest; establishment";Gastronomía y ocio nocturno;C. la Alberca, 5, posterior, 28660 Boadilla del Monte, Madrid, Spain;42;5059;Barato;Abierto;404057478;-38835252;https://www.google.com/maps/place/?q=place_id:ChIJqzW93mGFQQ0RH2EEMz5WakI;https://mesonocarro.com/;['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u200912:30\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u200912:30\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u200912:00\u202fAM'];916 32 09 33;VERDADERO;FALSO
ChIJV0rWvYiPQQ0R6pBsw7s_Vcs;Gasterea Finca Restaurante;Restaurantes;"restaurant; banquet_hall; bar_and_grill; mediterranean_restaurant; wedding_venue; meal_takeaway; bar; food; event_venue; point_of_interest; establishment";Gastronomía y ocio nocturno;P.º de Madrid, 3, 28660 Boadilla del Monte, Madrid, Spain;42;1051;Caro;Abierto;404026399;-3,87678E+16;https://www.google.com/maps/place/?q=place_id:ChIJV0rWvYiPQQ0R6pBsw7s_Vcs;https://www.restaurantegasterea.com/;['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:30\u202fPM', 'Saturday: 12:30\u2009–\u200911:30\u202fPM', 'Sunday: 12:30\u2009–\u20095:30\u202fPM'];606 33 81 20;VERDADERO;VERDADERO
ChIJqzW93mGFQQ0RJXdSf-u2GVM;Restaurante Rodado;Restaurantes;"restaurant; food; point_of_interest; establishment";Gastronomía y ocio nocturno;C. la Alberca, 5, 28660 Boadilla del Monte, Madrid, Spain;43;931;Barato;Abierto;4,04059E+16;-3,88372E+16;https://www.google.com/maps/place/?q=place_id:ChIJqzW93mGFQQ0RJXdSf-u2GVM;http://www.rodadorestaurante.es/;['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u200912:00\u202fAM'];916 32 21 05;VERDADERO;VERDADERO
ChIJ55zNp7qPQQ0RTJonFWa3wmc;El Puerto de El Escondite l Restaurante en Boadilla del Monte;Restaurantes;"mediterranean_restaurant; seafood_restaurant; liquor_store; bar; korean_restaurant; restaurant; food; store; event_venue; point_of_interest; establishment";Gastronomía y ocio nocturno;Av. de Cantabria, 28660 Boadilla del Monte, Madrid, Spain;45;45;No Disponible;Abierto;403962521;-3,87237E+16;https://www.google.com/maps/place/?q=place_id:ChIJ55zNp7qPQQ0RTJonFWa3wmc;https://elpuertodelescondite.com/?utm_source=gmb&utm_medium=gmb&utm_campaign=web;['Monday: 1:00\u2009–\u20095:00\u202fPM', 'Tuesday: 1:00\u2009–\u20095:00\u202fPM', 'Wednesday: 1:00\u2009–\u20095:00\u202fPM', 'Thursday: 1:00\u2009–\u20095:00\u202fPM', 'Friday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: Closed'];917 37 73 67;VERDADERO;VERDADERO
ChIJoXLwyoqPQQ0R_snihrn3Rv0;Telepizza Boadilla del Monte - Comida a Domicilio;Restaurantes;"pizza_restaurant; fast_food_restaurant; meal_delivery; meal_takeaway; food_delivery; italian_restaurant; restaurant; food; point_of_interest; establishment";Gastronomía y ocio nocturno;Av. Nuevo Mundo, 5, 28660 Boadilla del Monte, Madrid, Spain;34;342;Barato;Abierto;404053919;-3,88603E+16;https://www.google.com/maps/place/?q=place_id:ChIJoXLwyoqPQQ0R_snihrn3Rv0;https://www.telepizza.es/;['Monday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u202fPM\u2009–\u200912:30\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u200912:30\u202fAM', 'Sunday: 1:00\u202fPM\u2009–\u200912:00\u202fAM'];916 32 36 34;VERDADERO;VERDADERO
ChIJR1uwRdCPQQ0R8S3DSyvnFiM;SUYO - Restaurante Peruano;Restaurantes;"restaurant; food; point_of_interest; establishment";Gastronomía y ocio nocturno;C. Sigüenza, C.C. El Giraldo II, 4, 28660 Boadilla del Monte, Madrid, Spain;48;240;No Disponible;Abierto;404052772;-3,88286E+16;https://www.google.com/maps/place/?q=place_id:ChIJR1uwRdCPQQ0R8S3DSyvnFiM;https://www.suyo-saboresperuanos.com/;['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'Wednesday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'Thursday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'Friday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200911:00\u202fPM', 'Saturday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200911:00\u202fPM', 'Sunday: 1:00\u2009–\u20094:00\u202fPM'];663 90 79 48;VERDADERO;VERDADERO
ChIJC6ccmCSPQQ0RM3k1Ype6zvg;Cocina Lu;Restaurantes;"asian_restaurant; restaurant; food; point_of_interest; establishment";Gastronomía y ocio nocturno;Av. Isabel de Farnesio, 27, Local 7, 28660 Boadilla del Monte, Madrid, Spain;48;226;No Disponible;Abierto;404003401;-3885432;https://www.google.com/maps/place/?q=place_id:ChIJC6ccmCSPQQ0RM3k1Ype6zvg;https://www.cocinalu.es/;['Monday: Closed', 'Tuesday: 1:00\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Wednesday: 1:00\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Thursday: 1:00\u2009–\u20094:30\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Friday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 1:00\u2009–\u20095:00\u202fPM'];672 70 16 14;VERDADERO;VERDADERO
ChIJWWrOl-CPQQ0R6hVVLb6bCcA;The Bund Chinese Cuisine;Restaurantes;"asian_restaurant; chinese_restaurant; restaurant; food; point_of_interest; establishment";Gastronomía y ocio nocturno;C. la Alberca, 5, 28660 Boadilla del Monte, Madrid, Spain;44;255;No Disponible;Abierto;404058245;-38838327;https://www.google.com/maps/place/?q=place_id:ChIJWWrOl-CPQQ0R6hVVLb6bCcA;http://www.thebund.es/;['Monday: Closed', 'Tuesday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Wednesday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Thursday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Friday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Saturday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Sunday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM'];673 97 47 59;VERDADERO;VERDADERO
ChIJFR0--mKPQQ0RxrRBDKxmrhE;Kosh Café;Restaurantes;"cafe; dog_cafe; breakfast_restaurant; restaurant; food; point_of_interest; establishment";Gastronomía y ocio nocturno;Av. Isabel de Farnesio, 34, Local 10, 28660 Boadilla del Monte, Madrid, Spain;49;108;No Disponible;Abierto;403987999;-38843775;https://www.google.com/maps/place/?q=place_id:ChIJFR0--mKPQQ0RxrRBDKxmrhE;https://sites.google.com/view/koshcafe/;['Monday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed'];915 78 39 55;FALSO;VERDADERO
