NOMBRE_TUI,CATEGORIA_TUI,TIPOS_TUI,DIRECCION_TUI,WEBSITE,TELEFONO,HORARIO,RATING_TUI,TOTAL_VALORACIONES_TUI,GOOGLE_MAPS_URL,ESTADO_NEGOCIO,NIVEL_PRECIO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS,DESCRIPCION_TUI,LATITUD_TUI,LONGITUD_TUI
Madrid,hoteles,"locality, political",",   Madrid, Spain",,,,,,https://maps.google.com/?cid=14138733002322879081,,,False,False,,40.41673,-3.70329
Hotel Infantas by Mij,hoteles,"lodging, point_of_interest, establishment","Calle de las Infantas, 29 28004 Madrid, Spain",https://www.sohohoteles.com/hotel-itc-infantas-by-soho-boutique-4/,915 21 66 88,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.2,849,https://maps.google.com/?cid=14986758677336588356,OPERATIONAL,,False,True,Unfussy rooms with complimentary Wi-Fi in a down-to-earth hotel featuring an event space.,40.42011,-3.69705
"Mandarin Oriental Ritz, Madrid",hoteles,"lodging, spa, food, point_of_interest, establishment","Plaza de la Lealtad, 5 28014 Madrid, Spain",https://www.mandarinoriental.com/en/madrid/hotel-ritz?src=loc.local_listing.rzmad.ggl,917 01 67 67,,4.7,4076,https://maps.google.com/?cid=13383471427488719236,OPERATIONAL,,False,True,"Lavish hotel in a grand 1910 property, offering a caviar bar, afternoon tea & a posh spa.",40.41576,-3.69261
Hotel Urban,hoteles,"lodging, point_of_interest, establishment","Carrera de San Jerónimo, 34 28014 Madrid, Spain",https://www.hotelurban.com/,917 87 77 70,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.5,1985,https://maps.google.com/?cid=5071702397368184727,OPERATIONAL,,False,True,Plush rooms in a refined art deco hotel with an acclaimed restaurant & an oyster/cocktail bar.,40.41644,-3.6986
Hotel Regina Madrid,hoteles,"lodging, point_of_interest, establishment","Calle Alcalá, 19 28014 Madrid, Spain",https://www.hotelreginamadrid.com/?utm_source=google&utm_medium=organic&utm_campaign=Google_My_Business,915 21 47 25,,4.5,2770,https://maps.google.com/?cid=11100690794047035189,OPERATIONAL,,False,True,"Upscale rooms with Wi-Fi, plus a modern Mediterranean restaurant & a wine cellar.",40.41791,-3.69988
Hotel Quatro Puerta Del Sol,hoteles,"lodging, point_of_interest, establishment","Calle de Sevilla, 4 28014 Madrid, Spain",http://www.hotelquatropuertadelsol.com/?utm_source=google&utm_medium=organic&utm_campaign=my_business,915 32 90 49,,4.0,1144,https://maps.google.com/?cid=278976668618611448,OPERATIONAL,,False,True,"Contemporary quarters featuring free Wi-Fi & flat-screen TVs, plus an optional breakfast buffet.",40.41707,-3.69992
Hotel Victoria 4,hoteles,"lodging, point_of_interest, establishment","Calle de la Victoria, 4 28012 Madrid, Spain",http://www.hotelvictoria4.com/?utm_source=google&utm_medium=organic&utm_campaign=my_business,915 23 84 30,,4.1,1139,https://maps.google.com/?cid=9988821632557164572,OPERATIONAL,,False,True,"Breezy rooms in a casual property featuring a hip cafe/bar & an outdoor terrace, plus free Wi-Fi.",40.41638,-3.70174
Petit Palace Triball,hoteles,"lodging, point_of_interest, establishment","Calle Gonzalo Jiménez de Quesada, 2 28004 Madrid, Spain",https://www.petitpalacetriball.com/en/?utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&utm_content=ITA&origin_source=google&origin_medium=organic&origin_campaign=MyBusiness,915 22 47 90,,4.5,1759,https://maps.google.com/?cid=590749671207595845,OPERATIONAL,,False,True,"Contemporary rooms with wood floors, plus complimentary Wi-Fi, iPads & bike rentals.",40.42057,-3.70291
Hotel NH Collection Madrid Colón,hoteles,"lodging, point_of_interest, establishment","Calle del Marqués de Zurgena, 4 28001 Madrid, Spain",https://www.nh-hotels.com/en/hotel/nh-collection-madrid-colon?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,915 76 08 00,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.6,1557,https://maps.google.com/?cid=2259242187535467107,OPERATIONAL,,False,True,"Laid-back lodging with free Wi-Fi, plus a sushi bar, a business center, a gym & a 4th-floor pool.",40.42608,-3.68907
ME Madrid Reina Victoria,hoteles,"lodging, point_of_interest, establishment","Plaza de Santa Ana, 14 28012 Madrid, Spain",https://www.melia.com/en/hotels/spain/madrid/me-madrid-reina-victoria?utm_campaign=google&utm_content=2822&utm_medium=organic&utm_source=directories,917 01 60 00,,4.4,2571,https://maps.google.com/?cid=8361571523226012404,OPERATIONAL,,False,True,"Luxe hotel offering minimalist rooms & stylish suites, a sophisticated restaurant & a rooftop bar.",40.4146,-3.70138
Hotel Europa,hoteles,"lodging, point_of_interest, establishment","Calle del Carmen, 4 28013 Madrid, Spain",http://www.hoteleuropa.eu/,915 21 29 00,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.4,2120,https://maps.google.com/?cid=5061960524714923824,OPERATIONAL,,False,True,Straightforward option featuring free Wi-Fi and a cafe terrace with plaza views.,40.4175,-3.70339
