PLACE_ID;NOMBRE_TUI;TIPOS_TUI;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
ChIJ8_hy78iJQQ0RrgNmpToKzK4;Residencial Duquesa de Tamames;Hoteles,lodging;Alojamiento;C. de la Duquesa de Tamames, 5, Carabanchel, 28044 Madrid, Spain;5;3;;Abierto;403729637;-37496792;;http://www.duquesa5.com/;;910 88 52 21;FALSO;FALSO
ChIJd0B8yX8nQg0R0eo9uDe4FNM;B&B HOTEL MADRID Carabanchel;Hoteles,hotel;Alojamiento;C. del Aguacate, 43, Carabanchel, 28054 Madrid, Spain;4,7;269;;Abierto;40368676;-3,74242E+16;;https://www.hotel-bb.com/es/hotel/madrid-carabanchel?utm_source=googlemaps&utm_medium=fichehotel&utm_campaign=madridcarabanchel;;910 79 79 17;FALSO;VERDADERO
ChIJh7H6eIAnQg0RpDuc7tFxZvI;Hotel Eco Vía Lusitana;Hoteles,hotel;Alojamiento;C. Secoya, 2, Carabanchel, 28044 Madrid, Spain;3,9;1593;;Abierto;403727424;-37421528;;http://www.ecovialusitana.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];915 11 03 80;FALSO;VERDADERO
ChIJ2cWSKDgnQg0Rl1N2hZ-AZIk;TESALIA ENTERTAINMENT SL;Hoteles,hotel;Alojamiento;C. de Antonia Rodríguez Sacristán, 14, Carabanchel, 28044 Madrid, Spain;0;0;;Abierto;403728365;-3,74282E+16;;;;915 11 03 80;FALSO;FALSO
ChIJS2bXYPYmQg0R0QoLV9Uy_xo;San Fermin Partnership Project;Hoteles,;Alojamiento;Av. de los Fueros, 36, Usera, 28041 Madrid, Spain;4,1;400;;Abierto;403702166;-3,68862E+16;;http://www.san-fermin.org/;['Monday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 1:00\u202fAM\u2009–\u200912:00\u202fAM'];917 92 08 97;FALSO;VERDADERO
ChIJvzeHmOcnQg0R0AMJ56ib25s;Havitacion;Hoteles,hostel;Alojamiento;C. de Andévalo, 36, Puente de Vallecas, 28053 Madrid, Spain;0;0;;Abierto;403739031;-36677971;;;;671 56 42 28;FALSO;FALSO
ChIJ1VO3qQGJQQ0RWXL25bPDbEk;La Prensa Hostel: Rodríguez Lázaro 15;Hoteles,hotel;Alojamiento;C. de Rodríguez Lázaro, 15, Carabanchel, 28025 Madrid, Spain;5;1;;Abierto;4,03775E+15;-3,7456E+16;;;;681 03 94 59;FALSO;FALSO
ChIJOVXhAd-JQQ0RLqY9mmRO66I;La Prensa Hostel: Época 7;Hoteles,hotel;Alojamiento;C. de la Época, 7, Carabanchel, 28025 Madrid, Spain;0;0;;Abierto;403783877;-3,7459E+16;;;;681 03 94 59;FALSO;FALSO
ChIJNW2IuagnQg0RBr3D7eZyt10;Comunidad Santos Ángeles Custodios;Hoteles,;Alojamiento;Av. de Rafaela Ybarra, 73, Usera, 28026 Madrid, Spain;3,7;3;;Abierto;403789383;-37115912;;;;914 69 07 14;FALSO;FALSO
ChIJzS3FSQAnQg0RTLiCp7sn5XY;Room in guest room-H-rezidence;Hoteles,hostel;Alojamiento;C. San Basilio, 19, Usera, 28026 Madrid, Spain;1;1;;Abierto;4,03799E+16;-3,70768E+16;;;;;FALSO;FALSO
ChIJvarqLFcmQg0RyN_A3QRSRdw;E-kilibrio Hotel & Apart-Suites;Hoteles,hotel;Alojamiento;Calle de Antonio López, 247, Usera, 28041 Madrid, Spain;4,2;218;;Abierto;40377693;-3,69495E+16;;http://www.e-kilibrio.com/;;613 15 99 36;FALSO;VERDADERO
ChIJzUgzfZgnQg0RAghhJn7vsxA;Hola Madrid Room;Hoteles,bed_and_breakfast;Alojamiento;C. de Membezar, Puente de Vallecas, 28053 Madrid, Spain;0;0;;Abierto;403794969;-3,66779E+16;;http://holamadridroom.com/;;672 57 28 10;FALSO;FALSO
ChIJV8aWoIknQg0RNbj4bEstAf8;Hostal María Ronda;Hoteles,hotel;Alojamiento;C. Batalla de Torrijos, 26, Carabanchel, 28025 Madrid, Spain;4,5;671;;Abierto;4,03847E+16;-37411119;;http://hostalmronda.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];914 66 00 20;FALSO;VERDADERO
ChIJt7vVWQCJQQ0RTk59L4J-Nq0;Julia;Hoteles,;Alojamiento;C. de Saturnino Tejera, 27, Carabanchel, 28025 Madrid, Spain;0;0;;Abierto;403838368;-3744534;;;;;FALSO;FALSO
ChIJkbw6XwCJQQ0ReVUMQnJO3_E;Casa khadi;Hoteles,private_guest_room;Alojamiento;C. Juana Urosa, 16, Carabanchel, 28025 Madrid, Spain;0;0;;Abierto;403849723;-3,74471E+16;;;;;FALSO;FALSO
ChIJbRVVQAAnQg0RNg8ujyU1JOU;Habitación luminosas en Vista Alegre;Hoteles,campground;Alojamiento;Calle del Gral. Ricardos, 218, Carabanchel, 28025 Madrid, Spain;0;0;;Abierto;403849312;-37387939;;https://tripingguide.com/view-hotel?hotel=dos-habitaciones-luminosas-en-vista-alegre-spain;;;FALSO;FALSO
ChIJLQDRYQAnQg0RHKlt5ZcYcic;Casa oficial;Hoteles,hotel;Alojamiento;C. del Chimbo, 33, Carabanchel, 28025 Madrid, Spain;5;1;;Abierto;403821541;-3,72678E+16;;;;;FALSO;FALSO
ChIJVXadRwAnQg0RSmXvrJNZjUQ;Hostel Oasis;Hoteles,hostel;Alojamiento;C. de los Mineros, 3, Carabanchel, 28025 Madrid, Spain;0;0;;Abierto;403831026;-37290524;;;;;FALSO;FALSO
ChIJWRAmcwAnQg0R44ebFQ0WIZo;Agumar;Hoteles,hotel;Alojamiento;C. de Cintra, 4, Carabanchel, 28025 Madrid, Spain;0;0;;Abierto;40384966;-3,72461E+16;;;;;FALSO;FALSO
ChIJhwHXWgAnQg0RvJvFmDYI8kY;??? ????;Hoteles,private_guest_room;Alojamiento;C. de Elvas, 7, Carabanchel, 28025 Madrid, Spain;0;0;;Abierto;403847968;-37251668;;;;;FALSO;FALSO
ChIJsbSODAAnQg0RTdqIn5zqG1Q;Parada del bus a centro de acogida;Hoteles,hostel;Alojamiento;Carabanchel, 28025 Madrid, Spain;4;1;;Abierto;4,03845E+16;-37184532;;;;;FALSO;FALSO
ChIJzdgpKQAnQg0R0EUTXT2CfMs;???;Hoteles,hostel;Alojamiento;C. de Santoña, 27, Usera, 28026 Madrid, Spain;0;0;;Abierto;4,03818E+16;-3,71401E+16;;;;;FALSO;FALSO
ChIJZ5hoQTwnQg0R83Hxmbsx1N8;Rokay Properties S.L;Hoteles,;Alojamiento;C. Justa García, 12, Usera, 28026 Madrid, Spain;0;0;;Abierto;403821126;-37095009;;;;617 86 51 04;FALSO;FALSO
ChIJ2b258rEnQg0RryQpOha2bDg;Room Today Madrid Gabriel Usera;Hoteles,hotel;Alojamiento;C. de Gabriel Usera, 64, Usera, 28026 Madrid, Spain;1;2;;Abierto;4,03834E+16;-3,70854E+16;;;;603 74 59 39;FALSO;FALSO
ChIJP7vrCAAnQg0R8Aqb90Js69A;Casa de heidy;Hoteles,hostel;Alojamiento;C. Luis de la Torre, Usera, 28026 Madrid, Spain;0;0;;Abierto;403824532;-37086326;;;;;FALSO;FALSO
ChIJ9QAqSwAnQg0RpvGRHr4CB6k;??;Hoteles,private_guest_room;Alojamiento;C. de Isabelita Usera, 76, Usera, 28026 Madrid, Spain;0;0;;Abierto;4,03806E+16;-37074321;;;;;FALSO;FALSO
ChIJk-aGOwAnQg0RCeqWb_tjzlE;Ksa Adiam;Hoteles,;Alojamiento;C. de Isabelita Usera, 25, Usera, 28026 Madrid, Spain;0;0;;Abierto;403838179;-3,70782E+16;;;;;FALSO;FALSO
ChIJPcSMCQAnQg0R6l2yWMgncqM;residencia;Hoteles,hotel;Alojamiento;C. Sierra de Contraviesa, 28, Puente de Vallecas, 28053 Madrid, Spain;0;0;;Abierto;403834032;-3,67145E+16;;;;;FALSO;FALSO
ChIJT2UlWwAnQg0Rk7LJzUcD7lc;DESARROLLO NSA 14;Hoteles,hostel;Alojamiento;Av. de San Diego, 89, Puente de Vallecas, 28018 Madrid, Spain;0;0;;Abierto;403850542;-3,66581E+16;;;;;FALSO;FALSO
ChIJCVMwDAAlQg0Rs3iPMvrDyuI;chabola;Hoteles,private_guest_room;Alojamiento;C. del Puerto de Costabona, 7, Puente de Vallecas, 28018 Madrid, Spain;5;1;;Abierto;403852031;-3,65914E+16;;;;;FALSO;FALSO
ChIJ2WfXxyCIQQ0RYBxb35DGnlE;Hostal Granado;Hoteles,hotel;Alojamiento;C. del Espinar, 8, Carabanchel, 28047 Madrid, Spain;4,1;737;;Abierto;403868096;-3,74489E+15;;http://www.hostalgranado.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];914 62 41 11;FALSO;VERDADERO
ChIJFwPtwyCIQQ0Rfk2J-6Vh7bY;Hostal Don Pedro;Hoteles,hotel;Alojamiento;C. Guabairo, 1, Carabanchel, 28047 Madrid, Spain;3,2;416;;Abierto;4,03872E+16;-37450847;;https://www.hostaldonpedrocarabanchel.com/;;915 25 81 14;FALSO;FALSO
ChIJV1yFt4snQg0RrRNN7iiUuik;Hostal Puerta Bonita;Hoteles,lodging;Alojamiento;C. Humanitarias, 21, Carabanchel, 28025 Madrid, Spain;4,4;329;;Abierto;403877568;-374071;;http://www.hostalpuertabonita.com/;;914 62 37 12;FALSO;FALSO
ChIJWcIhTAMnQg0RLF-z08QJt88;AlojaHome;Hoteles,;Alojamiento;C. de las Hermanas Alonso Barceló, 6, Bajo Izquierda, Carabanchel, 28025 Madrid, Spain;4,9;51;;Abierto;403877205;-3,73924E+16;;http://alojahome.com/;;677 02 69 95;FALSO;FALSO
ChIJX9pyGpQnQg0Rn4oPK6YdO80;Madera,12;Hoteles,;Alojamiento;Tr.ª Humanitarias, 1, Carabanchel, 28025 Madrid, Spain;5;1;;Abierto;403878446;-3,74146E+16;;;;;FALSO;FALSO
ChIJR8hUEAAnQg0RquFewXtsxao;Suit recem reformadas guestroom;Hoteles,private_guest_room;Alojamiento;Calle del Pinzón, 21, Carabanchel, 28025 Madrid, Spain;5;1;;Abierto;403897149;-37399161;;;;;FALSO;FALSO
ChIJiUO0kIsnQg0RQh-XwBe8Ib4;Mars Suites Alondra;Hoteles,guest_house;Alojamiento;C. Alondra, 52, Carabanchel, 28025 Madrid, Spain;0;0;;Abierto;4038812;-3,73931E+16;;;;613 81 82 89;FALSO;FALSO
ChIJ-wdFV9gnQg0RHhjAmqHCIrQ;Gala Apartamento turístico Vista Alegre – (Madrid);Hoteles,;Alojamiento;C. Aldapa, Carabanchel, 28025 Madrid, Spain;5;6;;Abierto;403873961;-37367947;;https://www.galaapartamentos.com/nuevo-confortable-apartamento-vista-alegre-madrid/;;600 50 49 91;FALSO;FALSO
ChIJsVEd_yYnQg0RGibQaUff-yQ;Portazgo Rooms Madrid;Hoteles,hotel;Alojamiento;ESTACIÓN METRO OPORTO, C. de Luis Gómez, 11, Carabanchel, 28025 Madrid, Spain;3,5;42;;Abierto;403859026;-3,73113E+16;;http://www.portazgorooms.com/;;691 90 46 78;FALSO;FALSO
ChIJ3QESPcQnQg0RDTT7h3zdKt4;Plaza del paterre;Hoteles,;Alojamiento;Av. de Oporto, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;403884745;-3,73132E+15;;;;;FALSO;FALSO
ChIJA1woZ7UnQg0RNacDa2yGzrc;Urbanización Águeda Díez nº 5;Hoteles,lodging;Alojamiento;Pl. Águeda Diez, 5, Carabanchel, 28019 Madrid, Spain;5;1;;Abierto;403898693;-37321249;;;;;FALSO;FALSO
ChIJ_8jzGkEnQg0RwaWkv-SdNs4;Hermanas Hospitalarias;Hoteles,;Alojamiento;Calle del Gral. Ricardos, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;403891139;-3,73084E+16;;;;;FALSO;FALSO
ChIJWU6eLwAnQg0R92dmUbxJh-s;Bata;Hoteles,bed_and_breakfast;Alojamiento;Av. de Oporto, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;4,03856E+16;-3,72505E+16;;;;;FALSO;FALSO
ChIJBZnv1LYnQg0RL4sGKHT5o0c;calle de la Via;Hoteles,lodging;Alojamiento;C. de la Vía, Carabanchel, 28019 Madrid, Spain;1;1;;Abierto;403862525;-37205415;;;;;FALSO;FALSO
ChIJBwGncr8nQg0RVtlWjhzkv9E;Gallery Hostel Madrid;Hoteles,hotel;Alojamiento;C. de La Solana de Opañel, 20, Carabanchel, 28019 Madrid, Spain;3,6;65;;Cerrado temporalmente;403885694;-37194295;;https://www.galleryhostelmadrid.com/;;915 68 72 61;FALSO;FALSO
