PLACE_ID,NOMBRE_TUI,TIPOS_API,TIPOS_TODOS,CATEGORIA_TUI,DIRECCION,RATING_TUI,TOTAL_VALORACIONES_TUI,PRECIO,ESTADO_NEGOCIO,LATITUD_TUI,LONGITUD_TUI,URL,WEBSITE,HORARIO,TELEFONO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS
ChIJXQzFjV2HZUARu2wQR2f2-_0,McDonald's,Restaurantes,fast_food_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. de Santillana del Mar, 2, 28660 Boadilla del Monte, Madrid, Spain",3.6,2120,Barato,Abierto,40.4011,-3.8815999999999997,https://www.google.com/maps/place/?q=place_id:ChIJXQzFjV2HZUARu2wQR2f2-_0,https://mcdonalds-mcdelivery.es/,"['Monday: 12:00\u202fPM\u2009–\u200912:30\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u200912:30\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u200912:30\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u200912:30\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:30\u202fAM']",916 32 72 75,False,True
ChIJqzW93mGFQQ0RH2EEMz5WakI,Mesón Gallego O´Carro,Restaurantes,spanish_restaurant; mediterranean_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. la Alberca, 5, posterior, 28660 Boadilla del Monte, Madrid, Spain",4.2,5057,Barato,Abierto,40.4057478,-3.8835252,https://www.google.com/maps/place/?q=place_id:ChIJqzW93mGFQQ0RH2EEMz5WakI,https://mesonocarro.com/,"['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u200912:30\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u200912:30\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u200912:00\u202fAM']",916 32 09 33,True,False
ChIJV0rWvYiPQQ0R6pBsw7s_Vcs,Gasterea Finca Restaurante,Restaurantes,restaurant; bar_and_grill; banquet_hall; mediterranean_restaurant; wedding_venue; meal_takeaway; event_venue; bar; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"P.º de Madrid, 3, 28660 Boadilla del Monte, Madrid, Spain",4.2,1045,Caro,Abierto,40.4026399,-3.8767749999999994,https://www.google.com/maps/place/?q=place_id:ChIJV0rWvYiPQQ0R6pBsw7s_Vcs,https://www.restaurantegasterea.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 12:30\u2009–\u200911:30\u202fPM', 'Sunday: 12:30\u2009–\u20095:30\u202fPM']",606 33 81 20,True,True
ChIJqzW93mGFQQ0RJXdSf-u2GVM,Restaurante Rodado,Restaurantes,restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. la Alberca, 5, 28660 Boadilla del Monte, Madrid, Spain",4.3,931,Barato,Abierto,40.405924899999995,-3.8837174999999995,https://www.google.com/maps/place/?q=place_id:ChIJqzW93mGFQQ0RJXdSf-u2GVM,http://www.rodadorestaurante.es/,"['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u200912:00\u202fAM']",916 32 21 05,True,True
ChIJ55zNp7qPQQ0RTJonFWa3wmc,El Puerto de El Escondite l Restaurante en Boadilla del Monte,Restaurantes,mediterranean_restaurant; liquor_store; seafood_restaurant; event_venue; bar; store; korean_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"Av. de Cantabria, 28660 Boadilla del Monte, Madrid, Spain",4.5,45,No Disponible,Cerrado temporalmente,40.3962521,-3.8723723999999997,https://www.google.com/maps/place/?q=place_id:ChIJ55zNp7qPQQ0RTJonFWa3wmc,https://elpuertodelescondite.com/?utm_source=gmb&utm_medium=gmb&utm_campaign=web,,917 37 73 67,True,True
ChIJoXLwyoqPQQ0R_snihrn3Rv0,Telepizza Boadilla del Monte - Comida a Domicilio,Restaurantes,pizza_restaurant; meal_delivery; fast_food_restaurant; food_delivery; italian_restaurant; meal_takeaway; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"Av. Nuevo Mundo, 5, 28660 Boadilla del Monte, Madrid, Spain",3.4,341,Barato,Abierto,40.4053919,-3.8860332000000004,https://www.google.com/maps/place/?q=place_id:ChIJoXLwyoqPQQ0R_snihrn3Rv0,https://www.telepizza.es/,"['Monday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u202fPM\u2009–\u200912:30\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u200912:30\u202fAM', 'Sunday: 1:00\u202fPM\u2009–\u200912:00\u202fAM']",916 32 36 34,True,True
ChIJR1uwRdCPQQ0R8S3DSyvnFiM,SUYO - Restaurante Peruano,Restaurantes,restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. Sigüenza, C.C. El Giraldo II, 4, 28660 Boadilla del Monte, Madrid, Spain",4.8,236,No Disponible,Abierto,40.4052772,-3.8828570000000004,https://www.google.com/maps/place/?q=place_id:ChIJR1uwRdCPQQ0R8S3DSyvnFiM,https://www.suyo-saboresperuanos.com/,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'Wednesday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'Thursday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200910:30\u202fPM', 'Friday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200911:00\u202fPM', 'Saturday: 1:00\u2009–\u20094:00\u202fPM, 8:00\u2009–\u200911:00\u202fPM', 'Sunday: 1:00\u2009–\u20094:00\u202fPM']",663 90 79 48,True,True
ChIJC6ccmCSPQQ0RM3k1Ype6zvg,Cocina Lu,Restaurantes,asian_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"Av. Isabel de Farnesio, 27, Local 7, 28660 Boadilla del Monte, Madrid, Spain",4.8,223,No Disponible,Abierto,40.4003401,-3.885432,https://www.google.com/maps/place/?q=place_id:ChIJC6ccmCSPQQ0RM3k1Ype6zvg,https://www.cocinalu.es/,"['Monday: Closed', 'Tuesday: 1:30\u2009–\u20094:00\u202fPM, 8:30\u2009–\u200911:30\u202fPM', 'Wednesday: 1:30\u2009–\u20094:00\u202fPM, 8:30\u2009–\u200911:30\u202fPM', 'Thursday: 1:30\u2009–\u20094:00\u202fPM, 8:30\u2009–\u200911:30\u202fPM', 'Friday: 1:30\u2009–\u20095:00\u202fPM, 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 1:00\u2009–\u20095:00\u202fPM, 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 1:00\u2009–\u20095:00\u202fPM']",672 70 16 14,True,True
ChIJWWrOl-CPQQ0R6hVVLb6bCcA,The Bund Chinese Cuisine,Restaurantes,asian_restaurant; chinese_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"C. la Alberca, 5, 28660 Boadilla del Monte, Madrid, Spain",4.4,255,No Disponible,Abierto,40.4058245,-3.8838327,https://www.google.com/maps/place/?q=place_id:ChIJWWrOl-CPQQ0R6hVVLb6bCcA,http://www.thebund.es/,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Wednesday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Thursday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Friday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Saturday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM', 'Sunday: 12:00\u2009–\u20094:30\u202fPM, 7:30\u2009–\u200911:30\u202fPM']",673 97 47 59,True,True
ChIJFR0--mKPQQ0RxrRBDKxmrhE,Kosh Café,Restaurantes,cafe; dog_cafe; breakfast_restaurant; restaurant; food; point_of_interest; establishment,Gastronomía y ocio nocturno,"Av. Isabel de Farnesio, 34, Local 10, 28660 Boadilla del Monte, Madrid, Spain",4.9,108,No Disponible,Abierto,40.3987999,-3.8843775,https://www.google.com/maps/place/?q=place_id:ChIJFR0--mKPQQ0RxrRBDKxmrhE,https://sites.google.com/view/koshcafe/,"['Monday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",915 78 39 55,False,True
